Preferred_Contact_Method,Product_Category_Preferences
SMS,"word, mother, cut, participant, character"
SMS,"western, then, avoid, game"
Phone,"determine, Mr"
Phone,culture
SMS,"but, first"
SMS,"station, as, sign, treatment, people"
SMS,argue
Phone,hope
Phone,"scientist, low, think, by"
Email,"form, senior, should, guy"
Email,"election, book, thousand, old, major"
Phone,statement
Email,"clearly, together"
Phone,"sit, notice, camera, beyond, five"
SMS,allow
Phone,"professor, sense, south, often, respond"
Phone,"between, state, technology, hear"
Email,"start, shoulder, much"
SMS,"soldier, describe, campaign, financial, impact"
SMS,"every, whole, bit"
Phone,"capital, water, now, girl"
SMS,"however, paper, away, four, energy"
Phone,"later, after"
Phone,economic
Phone,condition
SMS,"bed, must, owner, small"
SMS,"food, control, bag"
Phone,American
Email,"road, form"
Email,"mission, detail, life, lay, amount"
SMS,"benefit, none"
SMS,"billion, next, control, measure"
Phone,"edge, break, with"
Phone,sit
Email,"name, friend, three, similar"
Email,"dark, anyone, pull, about"
Email,"blue, foreign"
Email,"also, cause, natural, positive"
SMS,well
Email,visit
Phone,"expect, speech, picture, sell, never"
SMS,"page, million, dog, nor"
SMS,"probably, account, could, attack"
Email,"consumer, address, option, likely"
SMS,"hard, whose, popular, reveal"
Phone,"force, himself, adult"
Phone,"today, sister, various, society, economic"
Phone,join
Phone,"reveal, natural, box, community, central"
Email,"finish, short, trouble, table"
Email,"mission, wrong, class"
Email,different
SMS,"American, both, research, evening"
SMS,"effect, education, require, somebody"
SMS,"full, base"
Email,"continue, information, operation, country, cold"
SMS,"gas, bring, less, room"
Phone,"ever, college, evidence"
SMS,"I, despite"
Email,"while, box"
Phone,"not, ago, kind"
Email,throughout
Phone,plan
Phone,"American, where, certainly"
SMS,"drive, growth, why, family, class"
SMS,"rest, late, thank, open"
SMS,author
SMS,"garden, back, particularly, continue, will"
SMS,"wide, commercial, experience"
SMS,"state, development, inside, partner"
SMS,"box, play, opportunity"
Phone,night
Email,"fly, attention, drop, rather, argue"
SMS,"level, nearly"
Phone,"affect, either, ever, guess"
SMS,"into, store"
SMS,"fear, structure, art"
Phone,"seem, fast, computer"
SMS,"although, image"
Phone,report
Phone,"onto, live, serious, catch"
SMS,his
SMS,"analysis, goal"
Email,"upon, thought, ready"
SMS,"most, cut, bank, country"
SMS,"argue, like, fish, wear"
Phone,"should, avoid"
Phone,"rise, store, understand, arm, of"
SMS,"require, particular, draw, similar"
SMS,"key, drop, how, assume, my"
SMS,"eat, fight, listen"
Email,machine
Phone,"tonight, air, follow, price"
Phone,"truth, decide, kid, wonder, plant"
Phone,"until, arrive, score"
SMS,"area, plant, break, address, our"
SMS,"can, include, success, indeed"
Phone,"check, lose, special, section"
SMS,magazine
SMS,"it, instead"
Email,"federal, wide, main"
SMS,"effort, score, toward, mother"
SMS,consider
Phone,market
Email,someone
Phone,"food, suggest, people, fear"
Phone,"memory, wrong, chair"
SMS,during
Email,learn
SMS,"college, then, production"
Email,"identify, hope, deal, best"
Email,"same, speech, environmental"
Email,front
Phone,"yard, official"
Email,"under, institution, spring, cut"
Email,"spend, specific, hour, suffer, produce"
SMS,network
Phone,"support, husband, interesting"
SMS,"form, plan, memory, task"
Email,conference
Phone,base
Email,yeah
Email,"treatment, bed, father, probably, write"
SMS,"challenge, specific, miss, your"
Phone,"small, model"
Phone,send
Email,our
SMS,speak
SMS,"box, everyone, letter"
SMS,"window, itself, happy, south"
SMS,change
Phone,"possible, everybody"
SMS,"people, good, image, off, door"
SMS,"education, it"
Phone,paper
SMS,"into, affect, describe, point"
Email,"able, adult, also, than, off"
SMS,"southern, fine, race"
Phone,"set, in"
Phone,"beautiful, need, moment, about"
SMS,"by, quality"
Phone,"process, easy, young"
SMS,"oil, west, air, think, throw"
Email,"sure, alone, we"
Phone,"nature, each, seven, very"
Phone,station
Phone,"note, its, him, air, magazine"
SMS,"share, local"
Email,"success, lot, before"
Phone,"similar, tough, type"
Email,weight
Phone,"product, but, he"
SMS,"month, young, budget, tax"
SMS,"state, mother"
Email,"seat, down, suggest, share, single"
SMS,"chance, technology, movie, rest, capital"
SMS,"movie, toward, agency"
Email,"nature, research, place"
Email,"season, how"
Email,"pattern, over, prepare, live, one"
SMS,rise
Phone,"family, young, social"
SMS,all
Phone,"want, should, my"
SMS,"include, cost"
Phone,"television, subject, protect, health, idea"
Email,"start, treat, threat, chair, game"
Email,"long, answer"
Phone,"option, assume, approach, store"
Email,"interest, man, guy, arm"
Email,tonight
SMS,"oil, audience, every, forward, participant"
SMS,"pick, expect"
Phone,"voice, should, focus"
SMS,"reduce, throw, usually, sister"
Phone,dinner
Phone,"people, expect, born"
Email,"future, policy"
Email,"scientist, artist, decade"
Phone,"wall, everybody, get, trip, three"
SMS,"term, often, south, hour"
Email,"money, education"
Phone,their
Phone,"reality, deep, wide"
SMS,"artist, onto, single"
SMS,contain
Email,"stay, bed, lay, impact, part"
Phone,"man, article, situation, everyone"
Phone,"four, wonder, long"
Phone,"be, answer, none"
SMS,to
Email,"town, also"
SMS,today
Email,"thought, sense"
SMS,despite
SMS,bank
Phone,"floor, marriage, determine"
Phone,"source, civil"
Phone,"office, worry, Congress"
SMS,"continue, simply"
Email,"at, society, can"
Email,her
Email,"meet, include, his, five"
SMS,huge
Email,"floor, consumer, blood, ten"
SMS,"general, including, bit, design"
Email,"job, stuff, purpose"
Phone,"someone, occur, certain, seven"
Phone,"tell, less, under"
SMS,"position, in, analysis"
Phone,"American, rule"
SMS,"level, Mrs, day"
Email,"card, theory"
SMS,"drive, up, here, high"
SMS,"church, anyone"
Email,"size, baby, radio"
Email,deep
Phone,"door, star"
Email,wonder
Phone,"area, media, huge"
Phone,"service, stuff"
Email,"ask, anything, watch, forget, network"
Phone,"she, or, beat, might, cell"
Email,"clearly, ball, special"
Phone,national
Email,"population, theory, box, country, generation"
SMS,"go, raise"
SMS,"television, individual, face"
Email,"play, sit, low"
SMS,ball
Phone,young
Email,change
SMS,"party, less, fight, religious, page"
Phone,"less, identify, tree, PM, nature"
Phone,"guess, color, science"
Phone,"edge, political, morning, approach"
Phone,"theory, already"
Email,"school, thought, first, direction, ahead"
Phone,"Mr, career, record"
Email,"no, woman, question"
SMS,"performance, watch"
Email,unit
Phone,"true, civil, study, rather"
Phone,particularly
Phone,"bring, kitchen, doctor, report, table"
Phone,"pick, the"
Email,"perhaps, rise, stuff, song, the"
SMS,"buy, indicate, energy, different, institution"
SMS,"girl, bad"
Phone,"space, only, operation, keep, religious"
SMS,"four, yard"
Phone,"occur, begin"
SMS,"new, marriage, class, really, phone"
SMS,out
Email,"stop, former, manager"
Email,"its, particularly"
Email,"pattern, expect, turn, break, Republican"
Email,"spend, agreement, risk"
Phone,"factor, pick"
Email,"trouble, along"
Email,"tough, trade"
SMS,"difference, deep"
SMS,"late, top, red"
SMS,"head, best, increase, recently, worry"
Email,however
SMS,"hard, yourself, improve"
Email,"door, smile, too, account"
Email,"beyond, century, team, point"
Phone,"individual, material, green, among, able"
Phone,"standard, state, huge, benefit"
Phone,"reveal, admit, three, beat, entire"
Phone,campaign
Phone,"study, first, when"
Phone,"full, analysis, piece, study"
Phone,"executive, if"
Phone,"only, reduce, get"
Email,"beautiful, laugh"
SMS,"myself, general, federal, system"
Email,let
SMS,"house, house, cup, rather"
Email,"represent, scientist, matter, reflect, full"
Phone,"old, music, hour, central, amount"
SMS,"war, stand"
SMS,"keep, kitchen, kid"
Email,"low, miss, street, will, national"
SMS,loss
Phone,"people, suggest, purpose, pretty, such"
Phone,glass
SMS,necessary
Phone,"citizen, put, despite"
Email,"sign, they, parent"
Phone,set
Phone,"in, sea, away, firm"
Phone,third
Email,"chance, people, sell, administration"
Email,"method, short, debate, TV, wish"
SMS,Mr
SMS,"rich, my"
SMS,central
Phone,science
Email,"rather, radio"
Phone,doctor
Phone,"own, statement"
Email,"open, up, six, management"
Email,"each, need, else, represent"
Phone,"near, second, partner"
Phone,"appear, attention"
SMS,ball
Phone,"space, mother"
Phone,defense
SMS,"for, sort, form, test"
SMS,"career, different, mind"
SMS,"run, reduce, majority"
SMS,"pull, process, conference"
SMS,enjoy
Email,"run, agree, blood"
Phone,"himself, everyone, involve, act"
SMS,"where, environmental, trial, enough, able"
Phone,"significant, accept, teacher"
Phone,ball
Phone,later
Phone,"different, but"
Email,"deal, kind, skill, check"
Email,"culture, cultural, whole, sign"
Email,"leader, him"
SMS,"something, year"
SMS,war
Email,could
Phone,"act, black, nor"
Email,"total, board, manage"
Email,"eat, information, fire, live"
Email,"agency, network, lot"
Email,"food, attack, pick, any"
Email,"business, know, local, structure, grow"
Email,"action, threat, environment, herself, idea"
Phone,"class, article, better, article"
SMS,"hard, another, return, sing"
Phone,"your, outside"
SMS,"rule, other, painting, car, behavior"
Email,"year, tell"
Phone,"across, have"
Email,"officer, election, child, size"
Phone,"fund, country, matter, once"
Phone,medical
SMS,"boy, participant, lose"
Phone,"member, boy, scientist"
Phone,"rule, past, make, send"
Email,"watch, most"
Email,"thank, drive, so, last"
Phone,available
SMS,"piece, remain, people, court"
SMS,"crime, player, include"
Phone,pass
SMS,institution
Email,"check, give, spring, society"
Phone,"medical, everything, ten"
Phone,"second, community, traditional"
Phone,"mean, alone"
SMS,"local, by, east, kid, international"
Email,benefit
Phone,cold
SMS,"space, discuss"
Email,"too, evidence"
Phone,"Democrat, soon, exactly, mention"
Email,mission
SMS,"know, opportunity"
Email,"hot, until"
Phone,"else, mind, return"
SMS,"student, all, understand, house"
Email,"poor, my, win, herself, rise"
Phone,"style, political, notice, nor, generation"
Email,"financial, good, know, teach"
Phone,"share, officer, imagine"
Email,"turn, clearly, task"
Email,"thing, pick, gas"
Email,"scene, card, almost"
Email,"crime, why, make, five"
Phone,"most, trial, back, interview, city"
Email,"board, authority"
Phone,"building, dinner, performance, area, bar"
Phone,"chance, accept, nearly, shoulder, employee"
Phone,"action, leg"
Email,"capital, president, set"
Email,her
SMS,"than, discussion"
SMS,"future, of, rich, lot, star"
Phone,"apply, off"
SMS,sign
Phone,"include, production"
SMS,"action, minute, step, early"
SMS,"government, paper"
SMS,sure
Phone,"leg, mission, dark, thought"
Phone,"protect, though, government, central"
Phone,"sound, indeed, notice, to, discussion"
Email,"catch, modern, its, people"
SMS,contain
Phone,"who, any, information, wall, pretty"
Email,"nearly, happy, herself, moment, husband"
Email,"wait, rule, action, majority"
Email,"physical, serious, state"
Email,"environment, dinner"
SMS,"system, American"
SMS,"east, sure, matter, machine"
SMS,"soon, each, case, game, add"
Email,"seven, music, property, eat, fly"
Email,art
SMS,"hospital, offer"
Email,create
Email,"care, have, away, population"
Phone,"subject, ball, happy, she, reality"
SMS,"meeting, sound, later, southern"
SMS,drug
Email,"entire, carry, accept, collection, wear"
Email,edge
Email,"catch, matter, when, recent"
Email,"both, finally"
Email,scene
Phone,"think, above, would, sense, condition"
Phone,they
SMS,"generation, yet"
SMS,continue
Phone,"part, attack, west"
SMS,"rock, happen, middle"
Email,"thing, successful, nature, movie"
Phone,"response, most, particular, early, tax"
SMS,"mother, one, job, practice, record"
SMS,serious
SMS,them
Email,"each, recent, organization, big, through"
Email,who
Email,"fall, tell"
SMS,"tax, week, edge"
Email,"herself, set"
SMS,"report, play"
SMS,and
Phone,"stuff, grow, approach, whose"
Email,charge
Email,"agree, charge, security, drive"
Phone,"take, institution, final, bill, safe"
Email,"agree, everyone, simply"
SMS,"many, new, meet, natural"
Email,"yet, note, collection, true"
Email,enough
Email,expert
Phone,"analysis, style"
Phone,"these, little, since, all"
SMS,"performance, firm, another, party, once"
Email,"tell, standard, accept, six, look"
Phone,"different, their, against"
Phone,"day, including, government, while"
Phone,"two, make, situation, let, call"
Email,"leader, local, history, leader, daughter"
Email,area
Phone,"moment, together, early, everyone, always"
Phone,"act, memory"
Email,"raise, Democrat, pick, lose"
Email,"each, front, positive, respond"
Phone,explain
Phone,"especially, blood"
Phone,"executive, security, exactly, provide, toward"
SMS,money
Phone,"else, rise, result, international"
SMS,"exist, final, five, hard"
Phone,"kitchen, run, until"
SMS,"major, fly, occur"
SMS,"fire, item, team"
Email,"we, continue, impact, turn"
Phone,"page, type"
Email,institution
SMS,"kid, from, decade"
Phone,"condition, open, from, act"
SMS,"ability, back, about"
Email,something
Email,quality
Email,"data, form, method, three"
Email,"none, group"
Phone,put
SMS,war
Email,"growth, though"
Phone,"feeling, sing, pressure, year"
SMS,"ago, evening, gun, attention, travel"
SMS,"be, public, subject"
SMS,"attorney, century"
Email,"that, level"
Email,"international, whose, professor, make, oil"
Email,"pretty, approach, drop, protect"
Phone,"hundred, room, up, practice, long"
SMS,"former, expert, oil"
SMS,deep
SMS,"beat, answer"
Email,"eat, everything, area, public, once"
Email,painting
Email,"action, physical, deal"
SMS,"above, really, find, tough"
SMS,"including, able, nice, less, task"
Phone,"bring, improve, describe, development"
SMS,consumer
Email,heart
SMS,"way, before, really, church, painting"
Phone,blood
Phone,with
Email,"power, high"
Email,"will, walk"
SMS,"wrong, cell"
Email,"leave, reflect, there, today, yet"
Phone,"community, everyone, not, next, free"
Email,"accept, owner, guess, sell, team"
SMS,"school, six, where"
Phone,"often, community, travel, ever, ten"
Email,"effect, yard"
Email,"customer, us, law, road, sport"
Email,"hot, others, forget"
Email,"step, finally"
Email,"amount, answer, price"
Phone,"bring, eight"
Phone,"television, set, management, individual, fish"
SMS,"unit, least, catch"
SMS,"conference, glass, possible, lay, relationship"
Email,"soon, far, else, pretty, ability"
SMS,"owner, explain, music, know, right"
Email,"four, compare"
Email,"structure, six, strategy"
Email,mission
Phone,"among, hair, job, window, ground"
Email,"really, six, skill"
Email,"health, order, stop, pass, a"
Email,fight
SMS,bad
SMS,"section, read, fly, cover"
SMS,"remain, create, over"
Email,"along, foot, stage, trial"
Phone,"I, how"
SMS,"analysis, since, recognize, effort, crime"
SMS,"read, not, soon"
SMS,"necessary, world, know, pick"
Email,"author, method, test, stage"
Email,"alone, size, front, bank"
Phone,week
Email,"newspaper, beautiful, seem, alone"
SMS,"deep, effort"
Phone,"rock, small, ground"
SMS,"easy, what"
Email,"piece, site, media, inside, make"
SMS,"property, base"
SMS,"measure, school"
Email,"color, bank, else, individual"
Email,"serve, want, region"
Email,"consumer, mission, include, alone, rich"
Email,interesting
Email,statement
SMS,police
SMS,ago
Phone,"management, choice, know, wind"
Phone,"question, cause, executive, meeting, data"
Phone,"beautiful, car, other, magazine, others"
Phone,"can, major, officer, keep, nature"
SMS,"old, grow, him, provide, scene"
Phone,result
Phone,"unit, project, water, for, town"
Email,"interesting, capital, often"
Email,"second, if"
Email,"though, produce, economic, general, collection"
Email,"join, far, eight"
SMS,rock
Phone,"mean, central, throw"
Phone,"white, difference, reality, career"
SMS,"remain, official"
SMS,"already, office"
SMS,among
Email,new
SMS,hand
Email,it
SMS,"significant, compare, vote"
Email,"development, now, eat"
SMS,"bring, life"
Phone,"peace, especially, analysis"
Phone,fall
Email,"together, such, only"
Email,"total, front, while, challenge"
Email,"hope, only, if, interest, data"
SMS,"tax, decision, away, fund"
Email,"upon, past, thus, situation"
Email,"democratic, movie"
Email,"begin, show, site, baby, certain"
Phone,because
SMS,"manager, lead, career, election, mean"
Phone,"social, natural, but"
SMS,"program, wear, main, fear"
Phone,"shoulder, have"
SMS,"office, until"
Email,"medical, cultural, one, drop, close"
Phone,benefit
Email,rock
Email,interest
Phone,"bring, idea, network"
SMS,"identify, my"
SMS,"hotel, then, sound, north"
Email,"time, industry, water, while"
SMS,radio
Phone,"poor, end"
Email,"alone, couple, information, style, certainly"
Phone,"space, fund, test, knowledge"
Email,"author, quality, weight"
Email,"learn, college"
Email,"American, woman, defense, them"
Email,me
SMS,environmental
SMS,"much, no, keep, available"
SMS,"agency, despite, south, measure, for"
SMS,"child, society"
Email,challenge
Email,form
Phone,music
Phone,meeting
Phone,"loss, moment"
SMS,"look, start, usually, determine, partner"
Email,"attorney, letter, south, professional"
Phone,"per, knowledge, land, heart, space"
Phone,"positive, single, art, both"
Email,"occur, fact"
Email,"south, weight, section"
Phone,"stop, whom"
Email,"money, issue, can, seven, young"
SMS,"security, huge, parent, long, spend"
Phone,"ago, when, direction"
SMS,radio
SMS,"clear, network, set, quite"
Email,"suddenly, none, morning"
Phone,"necessary, team"
SMS,"claim, street, city, expect"
SMS,"imagine, other, hot"
Email,"talk, at, player, floor, security"
SMS,"feel, above, effort, author, peace"
SMS,"establish, level, defense, evening, scene"
SMS,"new, focus"
Phone,"though, specific, degree, side, model"
Phone,"two, ten, later, the, pretty"
Email,"against, tax, better"
Email,"image, machine, record, top, citizen"
SMS,"heart, teacher, style, action"
Phone,work
SMS,"bar, of, art, industry"
Phone,"return, husband, understand, rich, father"
Email,"try, town, machine, point, experience"
SMS,"in, easy, none, nature, professor"
SMS,"official, table, husband, water, site"
SMS,"ever, deal"
Phone,"station, network"
SMS,mean
SMS,"expert, citizen, soon, out"
Email,"fine, majority, draw"
Email,"full, degree, form, floor"
Email,maintain
SMS,"reflect, task, recently, dinner"
Email,use
SMS,"reality, job, moment, page, family"
Email,"a, carry, itself, memory, current"
Email,"remain, responsibility, range"
Email,"view, south, movement, we"
Phone,"evidence, mother"
Email,"deep, usually, at, doctor"
Phone,"picture, far, oil"
Phone,"approach, bring, none, help"
Phone,"full, less, front, none, hospital"
SMS,"skill, relationship, first, want"
Email,"truth, out, city"
Email,"skill, provide, act, whole"
Email,economic
Phone,"clearly, behind, capital, carry"
Email,might
Email,"respond, let, language, firm, Mrs"
Phone,"such, year, ok"
Phone,food
Phone,"bar, form, in, son"
SMS,"single, important"
SMS,"become, society, wonder, trip"
SMS,"around, specific, require"
Phone,"image, middle, resource, pattern, present"
SMS,field
SMS,physical
Phone,"staff, meet, pay, society, east"
SMS,assume
SMS,"less, safe"
Email,"when, along, politics, race, edge"
Email,"any, sit, Congress"
Phone,"even, show, bring"
Email,"major, him, difference, past"
Email,interesting
Phone,"bar, shake, computer"
Phone,"turn, price"
Phone,"second, response"
Phone,matter
Phone,official
SMS,"production, value, American, yes, next"
Phone,"quite, challenge, prevent"
Email,"amount, share, year, use, couple"
SMS,sense
Phone,"machine, perform, series, sure"
Phone,"serious, nation"
SMS,"team, audience, serve, return"
Phone,experience
SMS,"project, tell"
SMS,"culture, step, book, pass, attorney"
Phone,else
Phone,"opportunity, office"
Email,"government, choice, play, senior, gun"
SMS,"to, I"
Phone,"science, only, stop"
Email,phone
Email,"do, strategy"
Phone,"per, prevent"
SMS,"there, company, show"
Email,"list, even, long, style"
SMS,"group, top, suffer, commercial, light"
Email,yes
Phone,"cause, finally, measure, claim, just"
SMS,"speech, but, man"
Email,"quality, Republican"
Phone,"base, strategy, building, poor, be"
SMS,"structure, threat"
Email,"data, plan, discussion"
Email,"model, might, focus, behind, responsibility"
Email,"over, manager, either, find"
Phone,"group, health"
Phone,"pattern, assume"
Phone,"stay, loss"
Phone,"often, western, themselves"
SMS,"study, child, understand, practice"
Email,"federal, will, line"
Email,involve
Email,"give, realize, capital"
Email,"natural, ball, now"
Email,"parent, so, card"
Phone,"girl, behavior, set, meet, paper"
SMS,"we, threat, wait"
Email,"seven, quite"
Phone,"authority, hundred"
SMS,"sound, campaign"
Email,"tough, popular"
Email,"no, interesting, resource"
Email,"friend, when"
Email,"production, course, PM, idea"
Phone,"open, program"
Phone,"budget, chance, affect"
Email,"seat, strategy, skill, compare, production"
SMS,"different, success, friend, get, course"
Email,star
Phone,"interview, public, believe"
Phone,"data, reflect, side, partner"
Phone,"data, sometimes, cost, wrong, leave"
SMS,issue
SMS,"which, there, theory, possible, throughout"
SMS,"agreement, material, music"
Email,"cultural, there, rather"
SMS,trade
SMS,"feel, into, yourself, serve, north"
SMS,"board, cost, bring"
Email,growth
SMS,finish
SMS,"send, close, same, these"
Email,"perhaps, until, international, whom"
Phone,"billion, summer"
Email,"sister, stuff, more, section, think"
SMS,"choose, nor, cover"
Email,"apply, provide"
Phone,"language, deep, energy, away"
Phone,"evening, voice"
SMS,"task, entire"
Email,"especially, throughout, hear, stay"
Phone,born
Email,"quickly, bit, notice, other"
Email,"war, responsibility, culture, tax, seem"
Phone,"high, put, part, south, never"
Phone,realize
Phone,"serious, front, student, you, do"
SMS,"stand, against, art, pull"
Phone,"rise, really, my, continue, raise"
Email,"loss, carry, spend, seek"
Phone,"course, us, thank"
Email,"play, and"
Phone,"place, lawyer, wall"
Email,"lose, work, memory, real, water"
SMS,"amount, will, fund, maintain, even"
SMS,"instead, question"
Email,"fund, face, scientist, term, town"
Email,"term, their"
SMS,"never, similar, read, life"
Email,"purpose, respond, real, poor, teach"
SMS,"project, plant"
SMS,"form, top, peace"
Email,"lose, within, today, full, always"
Phone,"past, yourself, loss, movie"
Email,tax
SMS,"leg, do, no, whom"
Email,"weight, budget, tell"
Email,"meet, name, white, guess, pay"
Phone,"black, something, news, pass, board"
Email,"imagine, trouble"
Phone,"four, report, increase, every"
SMS,down
SMS,report
Phone,"trouble, whether"
Email,carry
Email,"partner, ask"
Email,"blood, mission"
Phone,"worry, enjoy, number, tax, herself"
Email,"space, Mr"
Phone,"wait, value"
SMS,"rise, amount, themselves"
Phone,"forget, forward, guy, lead, town"
Phone,"or, continue"
SMS,"test, too"
SMS,"personal, left, need, in, detail"
Email,"information, ability, research, stop"
Email,"course, election, only"
Email,"yet, avoid, staff, statement, scientist"
Phone,"dark, window, peace, both"
Phone,"water, end"
Email,feeling
Phone,"Republican, respond, market, hit"
Phone,"cup, sure"
Email,"maintain, test"
Email,"she, positive, bit, year, development"
Phone,"Mrs, model, fight, where"
Email,"money, administration, put, method"
SMS,figure
Phone,"order, out, result, however, end"
Phone,"remember, blue, help"
SMS,attack
Email,"sell, another, down"
Email,expect
Email,matter
Phone,consumer
SMS,"international, inside, will, loss"
Phone,"put, reveal, newspaper"
Email,"treat, change"
Email,"have, act, student"
SMS,"PM, edge, then"
SMS,"writer, news, government, forward, shoulder"
Phone,"nature, couple, professor, center, body"
Phone,"forget, support, apply, investment, way"
Phone,"wife, far, down, size, style"
SMS,price
SMS,"sound, rich"
SMS,"administration, especially, why, charge"
Phone,"fund, employee, it"
SMS,"write, bad, build"
Email,"leader, design, key"
Email,under
Email,"remain, possible, each"
SMS,"important, at, blue, play, actually"
SMS,"pressure, power, structure, trial, finally"
Email,give
Phone,"indeed, team, remember, might"
SMS,"example, page, onto"
Phone,"central, type, four, soldier"
Email,"realize, man, poor"
Phone,water
Email,"plan, hotel, whatever, join"
Phone,"newspaper, oil"
Phone,summer
Email,"figure, bring, big"
Email,"than, yard, father, able, special"
Email,health
SMS,contain
Phone,"sense, attorney, few"
Email,"and, cell, traditional, simple"
SMS,"now, house, hour, nation"
Email,"research, assume, training"
Email,"cold, she, free, deep"
SMS,"appear, inside"
Phone,"form, skill, movie, fact"
Phone,"sing, maybe, explain"
Phone,"answer, allow, say, month, something"
SMS,"than, resource"
Email,"medical, business, season"
SMS,"key, often, forget, machine, section"
Phone,"politics, else"
SMS,"individual, environmental"
Email,"join, strategy"
SMS,"service, throw, believe, thing"
Phone,"another, cell, discussion, when, receive"
SMS,"police, fund"
Email,"pull, hotel, politics, teacher, generation"
Phone,"wall, where, summer, condition, measure"
Email,skill
Phone,career
SMS,play
SMS,"many, him, official, man"
Phone,"hospital, in, data, Congress, cause"
SMS,"assume, hard, plant"
Email,"significant, edge, newspaper, tax"
Phone,"keep, establish, parent"
Email,likely
Email,"state, type, owner, husband"
Phone,"specific, task"
SMS,"trip, myself, strategy, knowledge"
Email,"whatever, practice, you, member, high"
Phone,box
SMS,room
Email,"out, general, model"
SMS,"person, eye"
Email,"continue, capital"
Email,"avoid, tonight"
Email,"top, fine, notice"
Email,could
Email,"number, onto, home"
Phone,"view, decade, usually, summer"
Email,"she, quality"
Phone,"modern, somebody, none, PM, follow"
Phone,"its, military"
SMS,"smile, raise, meet, property"
Phone,yet
Email,"above, available, middle"
SMS,"such, change, wife"
SMS,everyone
SMS,"rise, election, control, society, glass"
Phone,"special, necessary, now"
