TransactionDate,Amount,Transaction_Type
2024-01-07 00:40:34,353.25,debit
2023-05-21 01:19:35,188.51,debit
2024-03-20 22:54:49,235.77,credit
2023-06-18 09:43:04,214.07,debit
2024-02-05 08:45:11,132.68,debit
2024-03-09 03:10:40,104.11,debit
2024-03-27 01:25:09,43.71,debit
2023-04-09 08:50:49,89.9,credit
2024-03-23 18:01:12,100.38,credit
2024-01-01 03:35:30,371.45,debit
2023-07-30 07:04:39,458.07,debit
2023-10-11 02:03:11,63.86,debit
2023-05-11 02:12:38,13.14,debit
2023-11-08 02:52:05,311.45,debit
2023-12-03 06:34:31,185.48,credit
2024-01-29 03:57:20,137.85,credit
2024-01-05 21:03:41,304.55,credit
2024-02-04 12:33:52,337.27,debit
2023-12-11 05:07:02,152.13,credit
2024-01-31 03:56:06,286.49,credit
2023-04-23 10:35:16,395.63,credit
2024-01-31 06:34:20,213.96,credit
2023-08-17 18:31:59,306.66,debit
2023-09-19 12:43:12,175.44,debit
2024-01-16 09:20:04,59.95,credit
2023-08-11 20:37:47,497.9,debit
2024-01-14 14:56:51,406.79,debit
2023-11-03 03:00:41,90.31,credit
2023-05-17 17:48:52,224.82,debit
2023-08-15 22:14:41,263.65,debit
2023-04-13 20:04:48,194.22,debit
2024-02-07 19:48:43,58.78,debit
2023-07-31 08:01:28,135.76,debit
2023-07-22 13:22:20,60.09,credit
2023-05-14 19:19:40,200.74,credit
2023-08-15 07:18:16,297.99,debit
2024-02-05 16:44:42,256.43,debit
2024-03-17 13:17:47,78.07,credit
2023-04-23 13:41:32,472.68,debit
2023-04-11 04:14:21,172.72,debit
2023-11-21 16:40:19,244.8,debit
2023-12-05 09:12:52,283.58,credit
2023-10-23 17:52:23,76.96,credit
2023-11-24 05:44:41,428.76,credit
2024-02-14 08:23:56,256.04,credit
2023-12-13 05:11:53,372.15,debit
2023-12-10 16:37:28,425.48,credit
2023-05-28 03:36:23,407.43,credit
2023-12-28 00:18:04,421.32,debit
2023-10-03 17:44:08,476.17,credit
2023-12-31 04:01:40,439.42,debit
2023-08-08 16:23:58,492.42,credit
2023-09-03 06:14:33,178.58,credit
2023-08-30 16:01:38,14.79,credit
2023-08-11 19:13:30,248.39,debit
2024-02-29 04:24:47,40.96,credit
2023-06-14 06:19:57,466.27,debit
2023-10-31 03:20:33,347.24,credit
2023-07-25 20:38:09,469.17,debit
2023-07-30 07:40:57,348.0,debit
2023-11-21 04:34:25,167.56,debit
2023-07-08 06:40:56,326.01,debit
2023-09-30 06:57:48,465.39,debit
2023-09-01 11:04:01,383.49,debit
2023-12-05 14:30:11,149.56,debit
2023-10-15 04:17:25,88.54,credit
2023-07-02 02:56:35,82.11,credit
2023-05-03 07:59:31,14.99,debit
2023-08-08 10:19:08,452.65,debit
2023-09-05 13:24:51,457.82,credit
2023-10-18 12:24:20,132.85,debit
2023-04-29 01:16:52,176.21,debit
2023-05-10 22:06:40,479.79,credit
2023-08-30 20:39:47,343.1,credit
2023-04-20 15:14:27,230.43,credit
2023-05-11 00:36:51,50.52,credit
2023-09-30 22:42:04,290.98,debit
2023-12-16 10:31:13,345.36,debit
2023-09-28 07:44:10,49.15,credit
2024-02-17 22:32:12,486.34,credit
2023-05-12 01:59:51,13.32,credit
2023-10-15 10:27:15,484.6,credit
2023-12-15 09:40:29,207.25,debit
2023-06-26 02:57:55,381.14,credit
2023-06-14 10:42:24,266.04,debit
2023-05-29 11:13:27,222.68,debit
2023-11-23 07:24:27,351.27,credit
2023-12-04 22:25:06,137.64,credit
2023-06-12 12:53:49,209.48,credit
2023-06-08 07:00:39,378.44,credit
2023-08-31 22:42:47,251.43,credit
2023-09-08 07:41:09,499.66,debit
2023-11-10 17:29:33,461.61,debit
2023-06-09 13:14:51,418.75,credit
2024-03-02 23:56:37,196.89,credit
2023-11-08 05:33:41,405.66,credit
2024-03-28 05:00:04,475.83,credit
2024-03-16 13:36:11,470.54,credit
2023-06-03 10:22:39,213.44,debit
2023-12-11 03:58:57,293.87,debit
2024-03-19 10:44:29,401.06,debit
2023-05-28 06:32:45,223.26,debit
2023-09-24 12:56:35,433.3,credit
2023-07-10 02:02:08,109.17,credit
2024-02-24 15:03:57,372.22,debit
2023-09-27 05:49:22,93.26,debit
2023-07-09 05:05:12,399.64,credit
2023-05-23 03:22:17,248.08,debit
2023-06-17 21:38:48,391.6,debit
2023-09-23 11:21:00,153.12,credit
2023-06-19 13:58:14,61.51,debit
2023-11-17 01:22:06,54.4,debit
2023-09-16 17:24:19,65.11,credit
2024-02-27 16:06:21,204.52,debit
2024-02-18 23:02:12,348.01,credit
2024-03-01 17:37:32,432.6,debit
2023-05-04 11:36:38,389.39,credit
2023-09-10 17:46:09,449.33,debit
2023-09-17 23:07:54,168.93,debit
2023-10-05 12:26:39,131.73,credit
2023-09-24 01:18:24,446.16,debit
2024-01-29 13:41:23,255.65,debit
2023-10-20 11:04:29,496.98,credit
2023-11-15 00:09:26,262.31,credit
2023-05-19 04:45:08,89.58,debit
2023-08-14 22:04:15,362.07,credit
2023-07-03 19:25:19,94.77,debit
2024-01-23 20:10:29,228.75,debit
2023-12-10 20:04:58,472.13,credit
2023-11-14 02:21:31,100.51,credit
2023-08-19 12:05:55,98.69,credit
2023-06-12 17:47:05,240.55,credit
2023-09-14 22:47:19,83.41,credit
2023-11-02 07:59:14,179.06,debit
2023-04-27 22:49:41,336.66,credit
2023-10-04 00:22:57,403.92,credit
2023-11-22 20:00:38,202.83,credit
2023-08-26 05:35:34,222.03,credit
2023-10-24 10:13:29,461.03,debit
2023-12-07 07:12:40,61.12,debit
2024-02-09 01:00:32,421.3,credit
2023-12-18 08:22:14,77.7,debit
2023-10-18 19:14:40,188.26,debit
2023-06-25 08:25:50,379.01,debit
2023-05-30 21:34:25,17.98,debit
2023-07-09 03:47:03,331.92,debit
2023-04-13 02:24:56,298.91,debit
2023-08-15 11:51:07,385.3,credit
2023-08-17 13:21:22,124.72,debit
2023-09-25 13:13:35,218.87,credit
2023-09-06 16:28:11,127.29,credit
2023-12-11 19:06:51,426.7,credit
2024-01-19 17:14:59,272.94,credit
2023-08-26 06:28:36,224.54,credit
2024-03-07 20:06:48,288.54,debit
2024-02-29 21:25:44,276.01,credit
2023-11-28 15:10:33,57.65,credit
2023-07-11 15:02:45,225.58,debit
2023-10-06 04:07:39,291.23,credit
2023-04-29 02:02:27,393.62,debit
2024-03-03 19:22:00,401.37,credit
2023-05-26 01:10:38,82.46,debit
2023-07-24 23:33:08,210.29,debit
2023-09-04 23:29:38,337.92,debit
2023-05-01 00:37:25,196.76,debit
2023-12-07 07:44:49,370.48,debit
2023-09-15 22:34:26,40.28,debit
2024-01-11 23:19:08,128.09,debit
2024-02-22 18:22:11,299.88,debit
2023-08-06 00:52:10,115.7,credit
2023-11-24 04:03:18,171.39,debit
2023-08-17 11:09:21,210.29,credit
2023-06-16 15:53:23,498.29,credit
2024-02-13 19:13:32,281.51,credit
2023-05-28 05:14:17,360.27,debit
2023-07-20 06:40:25,330.57,credit
2023-10-09 13:53:51,412.55,credit
2023-06-13 17:38:37,362.07,debit
2024-01-08 00:27:52,414.65,credit
2023-12-11 21:08:17,250.59,debit
2023-11-25 12:43:08,413.47,debit
2024-02-08 11:15:39,311.66,debit
2023-11-15 00:48:52,162.06,debit
2023-11-03 15:06:41,106.36,credit
2024-01-20 23:47:21,306.27,credit
2024-03-05 23:27:31,211.84,credit
2023-09-13 16:15:45,482.62,credit
2023-10-26 08:06:41,398.04,debit
2023-07-22 13:43:09,11.63,credit
2023-05-26 19:39:09,153.9,credit
2024-01-31 07:53:38,69.86,credit
2024-03-14 23:22:11,183.88,credit
2023-07-23 12:39:10,292.42,credit
2023-04-23 22:46:17,411.42,debit
2023-06-03 00:05:10,480.16,credit
2023-11-21 01:01:16,399.18,debit
2023-09-16 02:08:39,94.21,credit
2023-10-30 12:40:30,47.92,credit
2023-10-30 22:41:01,15.57,credit
2023-07-13 08:20:25,92.33,credit
2023-11-26 02:54:16,125.88,debit
2023-06-15 10:48:16,486.71,debit
2024-01-24 19:15:30,398.17,credit
2024-01-23 10:27:37,338.27,debit
2023-05-27 00:04:42,426.62,credit
2023-10-25 06:27:41,276.16,debit
2024-03-11 14:28:09,423.8,credit
2023-05-17 09:46:09,96.31,debit
2024-02-27 21:29:01,196.81,credit
2024-03-20 03:46:08,238.68,credit
2024-01-12 07:56:23,406.08,credit
2023-11-20 05:49:04,405.17,credit
2023-11-09 03:58:35,341.3,debit
2023-04-27 03:09:27,191.3,debit
2024-02-18 22:55:23,19.04,debit
2023-04-17 00:20:49,159.02,debit
2024-01-20 08:02:37,318.29,debit
2023-12-18 19:58:47,186.74,debit
2023-12-16 09:12:20,190.94,debit
2023-06-14 16:34:59,308.48,credit
2023-06-02 04:34:10,135.73,credit
2024-01-27 06:12:24,265.75,debit
2023-06-23 08:00:49,85.39,debit
2024-01-29 05:19:53,208.73,credit
2023-11-03 22:11:38,17.27,credit
2023-12-24 04:45:31,214.94,debit
2023-12-20 06:55:35,161.45,debit
2023-07-05 08:43:52,351.43,debit
2023-12-11 12:14:21,368.47,debit
2023-07-15 11:47:45,274.53,credit
2023-06-02 06:35:55,124.76,credit
2024-02-15 18:57:13,331.71,debit
2023-05-21 19:50:50,388.14,credit
2023-12-11 03:27:15,475.14,credit
2023-04-29 23:39:52,407.82,credit
2024-02-23 06:48:29,130.24,credit
2024-01-14 09:48:22,84.06,credit
2023-05-08 04:45:10,316.09,credit
2023-08-25 22:04:17,334.59,debit
2023-12-21 02:27:39,255.5,debit
2023-11-19 11:57:45,460.86,credit
2023-10-31 22:24:15,47.74,credit
2023-10-21 13:37:27,367.51,debit
2023-06-26 02:41:41,254.75,debit
2023-10-06 04:02:56,496.45,debit
2023-10-05 01:03:14,118.04,credit
2024-03-13 07:52:01,262.99,debit
2023-12-11 16:20:41,48.93,debit
2023-08-11 02:43:12,409.37,credit
2024-01-08 13:28:24,378.25,debit
2024-02-11 11:59:35,85.79,credit
2023-08-10 22:07:21,381.45,debit
2023-08-03 04:24:59,42.19,credit
2024-01-27 16:35:31,107.68,debit
2023-08-06 05:28:06,93.44,debit
2023-07-08 14:20:32,319.92,credit
2023-07-01 11:38:59,222.41,debit
2023-08-20 15:34:08,228.71,credit
2023-05-04 09:30:38,66.91,debit
2023-10-07 00:05:16,294.21,credit
2023-12-04 09:03:02,377.24,debit
2024-01-02 18:20:19,468.77,debit
2023-11-18 06:04:15,475.59,debit
2023-05-08 05:40:05,153.56,credit
2023-12-08 01:08:47,16.98,debit
2023-06-02 09:28:02,33.33,debit
2024-02-26 21:34:16,244.52,credit
2023-05-18 15:52:42,88.75,debit
2023-04-22 19:09:56,476.33,debit
2023-06-09 23:33:52,37.19,credit
2023-09-14 20:37:45,148.18,credit
2023-06-13 20:33:37,107.21,credit
2023-11-23 20:30:19,210.17,debit
2023-07-13 02:49:35,178.1,credit
2023-05-16 19:00:40,329.5,credit
2023-10-17 21:23:54,92.37,debit
2024-02-06 15:53:51,428.7,credit
2023-08-14 14:51:55,158.07,debit
2023-10-28 18:48:46,19.39,debit
2023-12-05 03:34:19,239.86,debit
2023-11-04 11:59:43,227.48,debit
2023-04-02 18:45:20,368.33,debit
2023-08-18 02:13:53,71.01,credit
2023-04-05 10:27:25,259.44,credit
2023-04-27 01:03:47,280.9,debit
2024-02-29 14:58:01,167.73,debit
2024-02-28 23:05:46,254.8,debit
2023-09-17 17:53:42,238.1,credit
2024-01-31 08:51:52,323.38,debit
2023-11-02 10:46:19,328.55,credit
2024-03-06 16:35:09,37.8,credit
2023-05-23 06:21:38,489.75,debit
2023-12-01 07:10:39,383.98,credit
2023-05-15 03:20:48,227.13,debit
2023-05-15 12:38:49,439.24,credit
2024-01-08 10:29:04,167.8,credit
2023-07-15 03:50:44,213.14,debit
2024-02-16 18:55:22,219.35,debit
2024-03-22 01:42:19,45.61,credit
2023-08-26 23:57:35,27.87,debit
2023-06-03 15:22:26,38.51,debit
2023-11-21 15:10:47,411.63,credit
2023-11-29 04:31:43,380.42,credit
2023-08-30 23:07:00,260.98,credit
2023-09-04 10:53:21,319.18,debit
2023-06-13 23:32:17,323.87,credit
2023-07-23 17:47:03,102.26,credit
2023-07-19 00:41:06,232.34,debit
2024-02-13 14:56:13,446.0,debit
2024-03-17 09:48:49,212.91,debit
2023-08-01 12:13:25,100.72,debit
2023-10-28 02:20:52,223.15,credit
2024-03-05 13:52:38,22.9,debit
2024-02-08 16:04:52,284.13,credit
2023-11-14 01:06:55,496.54,debit
2023-08-10 19:25:41,13.98,credit
2024-03-08 06:27:49,174.62,debit
2023-12-23 18:57:48,14.83,credit
2023-10-17 14:36:58,163.32,debit
2023-11-12 01:56:53,399.2,debit
2023-10-22 17:36:27,351.01,debit
2023-08-15 17:59:56,302.75,debit
2023-05-22 21:29:48,60.52,debit
2023-06-12 07:13:34,462.51,credit
2023-12-18 07:21:35,486.45,debit
2023-09-29 16:40:51,225.78,credit
2023-04-08 07:22:20,128.01,debit
2023-05-17 11:42:44,139.44,credit
2023-10-29 20:25:56,226.41,credit
2024-02-14 07:30:51,309.4,debit
2023-11-08 20:38:56,401.64,credit
2023-07-05 14:17:43,304.02,debit
2023-04-10 04:56:41,119.83,credit
2023-09-03 00:56:09,461.22,debit
2024-02-13 00:42:23,444.87,debit
2023-12-07 17:01:42,173.18,debit
2023-05-02 02:09:56,316.33,debit
2023-07-12 17:13:31,375.14,debit
2023-09-29 18:03:35,68.7,debit
2023-04-05 02:59:15,109.44,credit
2023-11-24 16:14:14,74.12,credit
2023-08-15 06:04:55,244.9,credit
2024-01-07 02:09:51,472.33,debit
2023-10-03 21:49:00,334.75,credit
2023-06-15 12:13:07,88.98,debit
2023-08-06 09:39:09,398.63,debit
2023-11-02 00:49:29,61.8,credit
2023-10-23 18:41:08,277.43,credit
2024-03-29 02:06:56,39.78,debit
2023-06-09 16:52:38,49.0,credit
2023-12-29 15:23:42,311.32,credit
2023-09-03 05:52:05,291.33,debit
2023-08-31 14:29:43,261.53,debit
2024-01-15 06:41:50,28.18,debit
2023-03-30 15:23:10,240.04,credit
2024-02-02 04:34:05,204.49,credit
2024-02-29 19:45:03,365.56,credit
2024-01-25 00:43:21,284.31,debit
2024-01-25 00:19:45,440.51,credit
2024-02-03 04:27:18,43.08,debit
2023-04-17 12:02:07,83.19,credit
2023-11-02 15:46:44,447.16,debit
2024-01-16 23:44:57,116.72,credit
2023-05-06 08:26:34,236.48,credit
2024-03-27 12:30:53,453.45,debit
2024-02-01 23:59:03,219.73,debit
2023-10-30 16:08:21,112.54,debit
2023-06-19 00:19:52,131.36,debit
2024-03-04 04:32:52,131.32,credit
2023-12-11 05:59:02,197.49,credit
2023-06-27 16:41:07,173.86,debit
2024-03-24 06:04:39,170.64,credit
2023-05-15 18:41:43,418.33,credit
2023-04-10 10:21:30,492.96,credit
2023-11-10 12:35:40,475.15,debit
2024-01-24 06:19:15,283.36,credit
2023-11-29 11:41:56,280.34,credit
2023-05-24 20:26:17,187.43,debit
2023-05-05 11:58:33,371.44,debit
2023-09-25 08:58:41,173.79,debit
2024-02-22 03:10:29,271.69,debit
2023-12-16 22:06:18,92.33,debit
2023-12-20 20:09:05,424.02,debit
2023-11-27 06:01:21,97.95,credit
2023-12-04 15:46:11,370.24,credit
2023-03-31 16:16:27,197.39,credit
2024-03-04 16:32:57,494.76,credit
2023-10-28 14:11:52,73.91,debit
2024-02-25 08:49:44,207.48,debit
2023-09-07 18:10:55,218.94,credit
2023-06-14 04:51:25,400.16,credit
2024-03-23 18:56:22,246.35,debit
2023-10-01 03:47:37,393.3,credit
2024-02-09 01:36:16,14.68,debit
2023-05-04 16:38:20,294.89,debit
2023-09-15 08:32:48,281.73,credit
2024-02-06 12:17:20,186.97,debit
2024-02-03 05:36:53,181.89,debit
2023-08-15 06:28:57,62.63,debit
2023-03-30 08:09:33,395.54,debit
2023-05-17 03:37:20,217.72,credit
2023-05-11 10:21:59,290.12,debit
2023-11-14 14:04:56,198.0,debit
2023-05-07 04:41:41,295.82,credit
2023-07-18 06:30:56,10.31,credit
2023-07-29 01:17:27,287.77,credit
2023-11-06 17:32:57,442.89,debit
2023-06-09 23:30:32,36.04,debit
2024-02-27 23:08:23,307.59,credit
2024-03-05 17:33:48,19.75,debit
2024-03-07 01:49:34,267.77,debit
2024-01-16 16:17:18,143.41,debit
2023-06-16 07:00:21,382.75,debit
2024-03-26 15:41:15,316.57,credit
2023-07-29 07:22:55,377.93,credit
2024-01-17 21:45:27,262.02,debit
2023-06-03 02:52:52,23.6,debit
2023-07-11 10:50:15,251.67,credit
2023-04-02 19:29:53,288.79,debit
2023-12-18 15:25:08,432.56,debit
2023-11-20 08:51:03,392.03,debit
2024-01-29 08:14:30,496.4,credit
2024-02-20 04:14:19,279.17,debit
2023-08-24 18:22:24,320.27,credit
2023-11-17 23:30:22,160.42,credit
2023-12-14 05:27:51,434.82,debit
2023-08-01 20:29:30,44.2,credit
2023-06-08 22:12:31,140.96,debit
2023-12-12 05:59:02,453.01,credit
2023-10-21 10:19:11,333.2,credit
2023-10-13 04:27:30,310.03,debit
2023-05-31 05:21:08,242.05,credit
2023-12-15 00:04:16,330.11,credit
2023-05-27 01:38:20,498.95,debit
2023-04-29 19:54:35,424.62,debit
2023-09-20 19:16:30,38.53,debit
2023-06-27 20:56:53,179.27,debit
2023-07-07 02:10:28,184.88,debit
2023-04-23 04:59:43,381.28,debit
2023-04-19 10:22:25,299.98,credit
2023-09-26 00:27:01,247.83,credit
2024-01-02 14:32:55,255.51,debit
2023-05-17 06:03:45,227.73,credit
2023-04-13 23:53:08,199.84,credit
2023-05-05 21:54:05,278.05,credit
2023-05-31 16:50:18,212.61,credit
2023-07-19 03:58:03,157.96,debit
2023-08-30 10:18:34,112.59,credit
2023-07-22 12:01:03,185.68,credit
2023-12-21 18:48:58,147.22,debit
2024-01-01 10:53:41,143.76,credit
2023-09-21 17:10:31,319.95,credit
2024-01-14 20:42:13,256.21,credit
2023-12-11 20:55:23,431.03,debit
2024-01-10 16:04:48,318.12,credit
2023-06-30 22:15:11,497.76,debit
2023-05-09 17:59:55,31.22,credit
2023-08-19 20:00:53,312.06,debit
2023-08-29 09:32:52,477.09,credit
2023-05-12 15:31:40,162.38,credit
2023-08-03 12:21:29,194.25,credit
2023-03-31 05:10:53,100.73,debit
2023-11-28 17:41:24,433.5,credit
2023-10-04 06:11:41,93.85,debit
2023-12-09 12:00:06,424.87,credit
2024-01-29 14:11:51,92.39,credit
2023-09-06 21:37:08,265.69,credit
2023-05-03 06:37:12,186.24,debit
2023-06-23 20:27:54,346.73,credit
2024-03-13 17:21:04,55.51,debit
2023-05-31 21:53:49,50.18,credit
2024-01-19 22:34:59,97.02,debit
2024-02-07 18:25:54,14.7,credit
2023-08-11 15:47:30,319.99,debit
2023-05-26 12:43:30,475.81,credit
2023-12-24 20:12:36,307.31,credit
2023-04-12 16:48:41,410.35,credit
2023-11-21 17:21:27,370.56,debit
2023-04-18 01:09:30,16.28,credit
2023-10-21 17:02:30,109.6,debit
2023-06-28 05:28:33,47.33,debit
2023-10-23 21:53:56,337.52,credit
2023-11-08 07:13:30,14.48,credit
2023-08-05 12:08:24,264.32,debit
2024-01-17 11:41:19,231.57,credit
2023-04-13 22:33:23,203.26,debit
2024-01-17 12:03:07,325.64,debit
2024-03-01 23:35:35,403.49,debit
2023-06-15 14:29:15,175.46,credit
2023-12-19 15:52:04,253.31,debit
2023-11-09 05:36:52,13.68,credit
2024-02-01 11:37:19,276.02,credit
2023-08-21 03:22:01,491.26,debit
2024-02-17 23:23:36,257.02,credit
2023-05-12 18:54:22,350.64,debit
2023-07-25 04:14:36,395.28,debit
2023-10-01 21:33:58,234.25,credit
2024-02-09 09:06:27,204.66,credit
2023-10-13 04:14:33,230.4,credit
2023-05-14 15:20:14,202.13,debit
2023-07-30 15:23:41,26.54,debit
2023-06-05 02:11:36,186.85,debit
2023-09-22 01:34:22,232.06,debit
2024-01-20 18:08:39,425.75,credit
2023-11-24 07:08:06,424.46,credit
2023-04-03 07:32:08,194.89,credit
2023-07-17 19:03:50,291.01,credit
2023-10-19 18:31:59,497.32,debit
2023-04-01 22:29:29,80.4,debit
2023-11-13 18:20:43,165.3,credit
2024-02-01 07:28:26,53.94,credit
2023-07-19 15:34:29,332.15,credit
2023-08-02 04:06:04,377.35,debit
2024-03-13 13:37:12,419.43,credit
2023-12-28 06:30:10,133.35,debit
2023-08-09 15:32:42,25.29,debit
2023-07-13 08:51:04,161.09,credit
2023-12-04 16:47:55,499.48,debit
2023-11-11 21:19:54,408.18,credit
2023-06-15 06:06:04,406.54,credit
2023-09-04 12:01:48,473.05,credit
2023-08-10 01:54:58,296.47,debit
2024-03-15 12:57:32,178.65,credit
2023-05-19 07:09:39,289.61,debit
2023-08-04 12:47:01,66.96,debit
2024-02-01 22:08:28,453.39,debit
2023-05-21 19:44:42,98.84,debit
2023-11-03 23:11:57,455.33,debit
2023-04-12 14:08:53,313.53,credit
2023-04-24 06:02:26,258.44,credit
2023-07-24 16:44:51,410.7,credit
2023-12-26 11:08:46,217.31,debit
2023-06-08 22:41:36,399.12,credit
2024-03-11 05:22:23,187.28,debit
2023-08-23 03:56:46,343.13,credit
2023-06-06 15:23:12,414.8,credit
2023-09-21 07:37:09,90.85,debit
2023-11-26 21:18:08,276.12,debit
2023-04-01 08:14:52,388.01,debit
2023-09-18 23:36:13,263.1,credit
2023-12-06 19:30:51,173.03,debit
2023-05-01 15:21:59,326.48,credit
2024-01-19 10:55:57,204.48,debit
2023-05-23 16:35:41,35.83,debit
2023-07-11 04:26:25,269.38,credit
2023-08-04 07:17:18,116.57,debit
2023-11-12 16:00:02,98.44,debit
2023-06-29 13:16:10,400.24,credit
2024-02-21 02:38:52,96.84,credit
2023-04-02 23:06:31,53.69,debit
2023-05-10 11:38:53,302.91,debit
2023-09-03 16:02:39,465.06,debit
2024-01-13 01:38:18,390.27,debit
2023-07-31 18:14:50,340.01,credit
2023-12-02 18:02:55,484.17,credit
2023-05-05 17:51:26,56.35,debit
2023-07-09 08:49:02,77.39,debit
2023-06-14 11:20:26,342.68,debit
2023-06-07 09:47:51,115.0,debit
2023-11-11 12:42:28,152.53,credit
2024-01-05 20:29:31,396.24,credit
2023-12-10 05:08:30,93.3,debit
2023-10-09 02:09:12,471.93,credit
2023-05-27 19:25:15,255.16,credit
2023-06-26 18:36:12,363.46,credit
2023-10-07 20:24:25,235.2,credit
2023-10-12 23:07:09,174.49,debit
2023-04-01 20:15:53,214.61,debit
2023-04-03 05:11:47,125.72,credit
2023-10-16 05:56:23,325.96,debit
2023-09-02 02:46:05,43.8,credit
2024-03-13 15:18:09,455.21,debit
2023-08-25 04:39:12,384.32,credit
2023-04-27 16:30:47,212.57,credit
2023-09-19 14:02:58,302.57,credit
2023-04-04 13:13:36,156.11,debit
2023-12-30 16:00:18,238.73,debit
2023-08-13 01:32:59,372.67,credit
2024-02-19 15:38:33,96.63,credit
2024-03-06 09:39:32,169.37,debit
2023-09-19 01:00:24,37.81,credit
2023-08-14 12:37:26,36.04,credit
2023-09-03 14:30:55,16.77,credit
2024-03-20 16:00:18,170.08,credit
2023-07-22 01:43:37,301.1,credit
2023-04-02 02:40:38,21.47,credit
2023-10-10 08:53:52,396.74,debit
2023-07-14 09:54:37,323.71,credit
2023-04-10 17:13:59,470.28,debit
2024-03-04 15:33:44,296.59,credit
2024-01-13 11:00:16,405.19,credit
2023-05-02 23:32:49,108.44,debit
2023-09-11 15:03:06,383.15,credit
2023-05-27 03:48:32,55.7,debit
2023-04-06 16:32:46,354.03,credit
2023-04-15 12:40:44,202.48,debit
2024-02-10 22:08:34,484.4,credit
2023-11-27 07:56:46,38.28,debit
2023-10-11 06:28:35,476.4,credit
2023-12-03 05:17:31,299.58,credit
2023-07-15 10:02:07,343.59,credit
2023-08-12 15:51:00,221.24,credit
2023-09-27 22:09:05,241.21,credit
2023-07-31 17:23:37,451.81,debit
2023-11-09 00:07:31,124.39,credit
2024-03-22 14:30:44,118.31,credit
2023-08-12 18:12:37,369.63,debit
2024-01-29 06:00:18,378.59,debit
2023-06-07 23:29:18,85.05,credit
2023-07-24 15:19:44,123.42,credit
2023-08-02 09:38:15,184.87,debit
2023-04-21 15:08:36,373.87,credit
